Date ,Open ,High ,Low ,Close ,Daily Return
28-Jul-20,21940.15,22233,21611.4,22105.2,1.173751359
29-Jul-20,22075,22346.4,21906.35,22076.6,-0.129381322
30-Jul-20,22195.05,22252.6,21580.15,21646.85,-1.946631275
13-Aug-20,22395.2,22439.95,22139.6,22196.35,0
14-Aug-20,22334.95,22334.95,21459.1,21679.4,-2.328986523
17-Aug-20,21906.95,21909.4,21403.15,21700.85,0.098941853
18-Aug-20,21702,22227.75,21629.4,22170.6,2.164661753
19-Aug-20,22315.4,22419.35,22234.25,22285.9,0.520058095
20-Aug-20,21989.9,22079.9,21886.7,21999.45,-1.285341853
21-Aug-20,22190.7,22344.05,22165.05,22299.6,1.364352291
24-Aug-20,22436.85,22897.5,22410.05,22833,2.391971156
25-Aug-20,22973.4,23180.3,22857.9,23092.15,1.134980073
26-Aug-20,23175.55,23453.4,23093.15,23414.2,1.394629777
27-Aug-20,23511.45,23704.05,23464.15,23600.35,0.795030366
28-Aug-20,23635.3,24611.8,23599.2,24523.8,3.912865699
31-Aug-20,25038.8,25232.6,23385.3,23754.35,-3.137564325
01-Sep-20,23893.8,24199.65,23473.15,23812,0.242692391
02-Sep-20,23769,23926.15,23482.55,23874.55,0.262682681
03-Sep-20,23986.15,24051.6,23451.65,23530.85,-1.439608286
04-Sep-20,23119.15,23394.8,22876.9,23011.5,-2.207102591
07-Sep-20,23036.25,23109.1,22716.25,22945.05,-0.288768659
08-Sep-20,22971.2,23064.15,22641.4,22744.4,-0.874480552
09-Sep-20,22486.7,22554.6,22080.4,22267,-2.09897821
10-Sep-20,22466.55,22678.65,22225.25,22466.2,0.894597386
11-Sep-20,22509.95,22668.75,22205.95,22479.95,0.061203052
14-Sep-20,22683.35,22757.3,22028.15,22101.25,-1.684612288
15-Sep-20,22202.8,22514.15,22062.35,22465.65,1.648775522
16-Sep-20,22476.3,22659.4,22216.5,22573.55,0.480288796
17-Sep-20,22352,22504.45,22267.05,22320.35,-1.121666729
18-Sep-20,22439.35,22469.4,21784.9,22031.05,-1.296126629
21-Sep-20,21983.4,22098.85,21274.3,21366.8,-3.015062832
22-Sep-20,21445.25,21473.35,20958.45,21139.1,-1.065671977
23-Sep-20,21350.8,21365.05,20821,21178.5,0.186384472
24-Sep-20,20898.8,20955.6,20404.9,20456.85,-3.407465118
25-Sep-20,20740.8,21064.3,20430.7,20982.35,2.568821691
28-Sep-20,21152.05,21708.85,21055.1,21665.5,3.255831687
29-Sep-20,21770.9,21811.5,21280.6,21411.3,-1.173293947
30-Sep-20,21405.25,21549.35,21128.5,21451.8,0.189152457
01-Oct-20,21685.25,22293.75,21664.15,22246,3.702253424
16-Oct-20,23219.85,23646.2,23148.95,23533.25,0
19-Oct-20,23902.9,24320.95,23754.85,24266.75,3.116866561
20-Oct-20,24117.35,24410.9,24039.85,24311.8,0.185644967
21-Oct-20,24444.2,24823.6,24099.85,24635.05,1.329601264
22-Oct-20,24447.35,24691.15,24250.2,24484.15,-0.612541886
23-Oct-20,24669.2,24764.15,24360.85,24478.3,-0.023893008
26-Oct-20,24525.8,24577.3,23867.75,24075.45,-1.645743373
27-Oct-20,24288.05,24809.65,23924.2,24769.5,2.882812159
28-Oct-20,24737.85,24780.7,24057.95,24232.5,-2.167988857
29-Oct-20,24063.5,24339.1,23822.05,24092,-0.579799856
30-Oct-20,24090.15,24277.35,23612.7,23900.9,-0.793209364
02-Nov-20,24367.6,25139,24120.6,24892.5,4.148797744
03-Nov-20,25108,25760.7,25085.7,25682.8,3.174851863
04-Nov-20,25539.55,25891,25142,25771.6,0.345756693
05-Nov-20,26174.8,26375.2,26000.05,26313.1,2.101150103
06-Nov-20,26274.1,26853.45,26135.3,26798.95,1.846418704
09-Nov-20,27088.95,27595,27068.95,27534.1,2.743204491
10-Nov-20,28039.45,28802.5,27916.9,28606,3.892990873
11-Nov-20,28713.15,29030.9,28211.1,28845,0.835489058
12-Nov-20,28633.75,28672.9,28066.05,28278.8,-1.962905183
13-Nov-20,28108.7,28520.55,27703.3,28465.7,0.660919134
14-Nov-20,28685.7,28752.45,28431.85,28594.3,0.451771781
17-Nov-20,28792.25,29239.25,28722.9,29181.3,2.052856688
18-Nov-20,29107.9,29784.75,29056.75,29749.85,1.948336777
19-Nov-20,29302.6,29627.2,28819.55,28903.05,-2.846400906
20-Nov-20,28935.75,29406.7,28580.9,29236,1.151954552
23-Nov-20,29432.8,29492.3,28852.9,29024.2,-0.724449309
24-Nov-20,29265.6,29827.8,29206.75,29737.25,2.456742994
25-Nov-20,30021.9,30197.85,29132.3,29196.4,-1.818762663
26-Nov-20,29370.4,29623,28923.1,29549.75,1.210251949
11-Dec-20,30555.3,30811.8,30328.45,30604.85,0
